#,协议方法,方法,参数,URL,请求体,响应处理,说明
244,renameHome,post,"mid, new_name, point, callback, isNeedWait, retryType",rename_home,{mid = mid,createGetResponseFunction,
245,getLocationMap,post,"loc_mark, callback, isNeedWait, retryType",get_location_map,{loc_mark = loc_mark},createGetResponseFunction,获取购房列表
246,getHouseStoreList,post,"npcId, is_refresh, callback, isNeedWait, retryType",get_house_store_list,{npcId = npcId,createGetResponseFunction,
247,buyHomeland,post,"npcId, fqId, callback, isNeedWait, retryType",buy_homeland,{npcId = npcId,createGetResponseFunction,
248,getLandStoreList,post,"fbId, npcId, callback, isNeedWait, retryType",get_land_store_list,{fbId = fbId,createGetResponseFunction,
249,biddingLand,post,"dpId, npcId, price, callback, isNeedWait, retryType",bidding_land,{dpId = dpId,createGetResponseFunction,
250,getbiddingLand,post,"dpId, callback, isNeedWait, retryType",get_bidding_land,{dpId = dpId},createGetResponseFunction,
251,querybiddingInfo,get,"callback, isNeedWait, retryType",query_bidding_info,nil,createGetResponseFunction,
252,moveHomeland,post,"dpId, mid, callback, isNeedWait, retryType",move_home_land,{dpId = dpId,createGetResponseFunction,
253,getBiddingReturnPoint,post,"dpId, callback, isNeedWait, retryType",get_bidding_return_point,{dpId = dpId},createGetResponseFunction,放入家具
254,putinFurniture,post,"mid, roomId, furnitureId, extra, localVer, callback, isNeedWait, retryType",putin_furniture,{mid = mid,createGetResponseFunction,
255,removeFurniture,post,"mid, fid, localVer, callback, isNeedWait, retryType",remove_furniture,{mid = mid,createGetResponseFunction,
256,getUserMap,post,"mapId, userid, localVer, callback, isNeedWait, retryType",get_user_map,{mid = mapId,createGetResponseFunction,
257,getCommonFuben,post,"mapId, callback, isNeedWait, retryType",get_common_fuben,{fbId = mapId},createGetResponseFunction,
258,saveEmployeeList,post,"type, npcId, list, callback, isNeedWait, retryType",save_employee_list,{type = type,createGetResponseFunction,
259,getEmployList,get,"npcId, mid, callback, isNeedWait, retryType",get_employee_list/,,createGetResponseFunction,
260,addEmployee,post,"hid, objId, mid, npcId, push_data, callback, isNeedWait, retryType",add_employee,{hid = hid,createGetResponseFunction,
261,getEmployRoleData,post,"objId, mid, callback, isNeedWait, retryType",,{objId = objId,createGetResponseFunction,
262,updateEmployRoleData,post,"objId, mid, zc_type, zc_val, currency, callback, isNeedWait, retryType",,{objId = objId,createGetResponseFunction,
263,deleteEmployee,post,"objId, mid, callback, isNeedWait, retryType",delete_employee,{objId = objId,createGetResponseFunction,
264,transformRoom,post,"fjId, mid, attr, point, upload, callback, isNeedWait, retryType",transform_room,{fjId = fjId,createGetResponseFunction,
265,roomExtension,post,"mid, attr, point, upload, callback, isNeedWait, retryType",extension_room,{mid = mid,createGetResponseFunction,
266,restoreUserMap,post,"mid, callback, isNeedWait, retryType",restore_user_map | remove_room,{mid = mid} | {mid = mid,createGetResponseFunction,更新家园相关数据
267,updateHomeAttr,post,"mid, fj_update, pr_update, jj_update, cost, callback, isNeedWait, retryType",update_home_attr | yinpiao,{mid = mid,createGetResponseFunction,
268,getAffairList,post,"bizType, mid, limit, callback, isNeedWait, retryType",get_affair_list/,,createGetResponseFunction,
269,pushAffair,post,"affairTb, callback, isNeedWait, retryType",push_affair,affairTb,createGetResponseFunction,
270,processRoomAffair,post,"aid, deal_type, process_type, callback, isNeedWait, retryType",process_affair,{aid = aid,createGetResponseFunction,处理发薪事务
271,processPayAffairs,post,"aids, callback, isNeedWait, retryType",process_pay_affairs,{aids = aids},createGetResponseFunction,
272,upgrandeUserMap,post,"mid, new_fqId, yinpiao_num, callback, isNeedWait, retryType",upgrande_user_map,{mid = mid,createGetResponseFunction,获取指定UID的仓库信息
273,getCkItemsListByUid,post,"uid, ckname, callback, isNeedWait, retryType",get_ckitems_list_by_uid,{uid = uid,createGetResponseFunction,修改房间的相关属性
274,revampRoomAttr,post,"fjId, mid, attr, callback, isNeedWait, retryType",revamp_room_attr,{fjId = fjId,createGetResponseFunction,获取欠了多少管理费
275,getManagePayment,get,"dpId, callback, isNeedWait, retryType",get_manage_payment/,,createGetResponseFunction,上传特殊家具的一些属性（目前只有悬兵洞、藏衣阁使用）
276,uploadFurnitureExtra,post,"mid, attr, callback, isNeedWait, retryType",upload_furniture_extra,{mid = mid,createGetResponseFunction,
277,recycleLand,post,"dpId, callback, isNeedWait, retryType",recycle_land,{dpId = dpId},createGetResponseFunction,
278,updateEmployeeExtra,post,"mid, up_data, callback, isNeedWait, retryType",update_employee_extra,{mid = mid,createGetResponseFunction,
279,testHomeland,post,"type, tb, callback, isNeedWait, retryType",test_homeland/,,createGetResponseFunction,测试接口，设置地皮过期时间
280,setAuctionTime,post,"time, callback, isNeedWait, retryType",set_auction_time,{time = time},createGetResponseFunction,上传副本的额外属性。
281,uploadMapExtra,post,"mid, attr, point, callback, isNeedWait, retryType",upload_map_extra,{mid = mid,createGetResponseFunction,
282,getLocationMax,get,"mapIndex, callback, isNeedWait, retryType",get_location_max/,,createGetResponseFunction,
283,getShenShiReward,post,"type, objId, mid, up_data, callback, isNeedWait, retryType",get_shenshi_reward,{type = type,createGetResponseFunction,
284,exchangeLuckyPoint,post,"itemId, callback, isNeedWait, retryType",exchange_lucky_point,{itemId = itemId},createGetResponseFunction,获取自己的房间信息
285,getAllRooms,post,"mid, roomType, callback, isNeedWait, retryType",get_all_rooms,{mid = mid,createGetResponseFunction,
286,getAllPersons,post,"mid, jobType, callback, isNeedWait, retryType",get_all_persons,{mid = mid,createGetResponseFunction,
287,getLuckyGoods,post,"refresh, callback, isNeedWait, retryType",get_lucky_goods,{is_refresh = refresh},createGetResponseFunction,
288,buyLuckyGoods,post,"itemId, id, callback, isNeedWait, retryType",buy_lucky_goods,{itemId = itemId,createGetResponseFunction,
289,getQiXiRecord,get,"callback, isNeedWait, retryType",get_qixi_record,nil,createGetResponseFunction,上传七夕数据
290,addQiXiRecord,post,"uploadStr, callback, isNeedWait, retryType",add_qixi_record,{type = uploadStr},createGetResponseFunction,测试接口，删除所有数据
291,allQiXiDelete,get,"callback, isNeedWait, retryType",all_qixi_delete,nil,createGetResponseFunction,
292,testModifyQiXiCtime,get,"daynum, callback, isNeedWait, retryType",modify_qixi_ctime/,,createGetResponseFunction,
293,getPuRenNumAndRoomNum,post,"mid, actionType, callback, isNeedWait, retryType",get_all_numrsper,{mid = mid,createGetResponseFunction,
294,setPuRenStatus,post,"mid, rwId, type, time, callback, isNeedWait, retryType",make_servant_change,{mid = mid,createGetResponseFunction,储物箱售卖商人
295,getStorageBox,get,"baseId, callback, isNeedWait, retryType",get_storage_box/,,createGetResponseFunction,购买储物箱
296,buyStorageBox,post,"npcId, itemId, transid, fid, callback, isNeedWait, retryType",buy_storage_box,{client_trans_id = transid,createGetResponseFunction,家园开启
297,getHomeSwitch,post,"callback, isNeedWait, retryType",get_home_switch,{},createGetResponseFunction,获取房契信息
298,getHouseInfo,post,"callback, isNeedWait, retryType",get_house_info,nil,createGetResponseFunction,补领地契
299,getLandInfo,post,"callback, isNeedWait, retryType",get_land_info,nil,createGetResponseFunction,
300,getDiscountCoupon,post,"awardList, callback, isNeedWait, retryType",get_discount_coupon,awardList,createGetResponseFunction,
301,getActionTime,post,"callback, isNeedWait, retryType",get_yueka_times,nil,createGetResponseFunction,
302,getActionAward,post,"callback, isNeedWait, retryType",give_yueka_days,nil,createGetResponseFunction,
303,getNewDailyList,post,"activity_id, callback, isNeedWait, retryType",get_newdaily_lists,{activity_id = activity_id},createGetResponseFunction,
304,receiveNewDailyReward,post,"activity_id, type, callback, isNeedWait, retryType",get_newdaily_award,{activity_id = activity_id,createGetResponseFunction,
305,checkItemIsCanUse,post,"itemId, number, callback, isNeedWait, retryType",employ_materials,{itemId = itemId,createGetResponseFunction,
306,getActionTimes,post,"action, callback, isNeedWait, retryType",get_config_times,{com_config = action},createGetResponseFunction,
307,submitAction,post,"action, quantity, callback, isNeedWait, retryType",remove_config_point,{com_config = action,createGetResponseFunction,
308,getGuaikeReward,post,"isMenKe, menKeId, mid, guaikeLv, callback, isNeedWait, retryType",get_guaike_reward,{isMenKe = isMenKe,createGetResponseFunction,
309,addLandGift,post,"gift_type, objId, callback, isNeedWait, retryType",add_land_gift,{gifTypt = gift_type,createGetResponseFunction,
310,getMenPaiHongBao,post,"type, callback, isNeedWait, retryType",get_menpai_hongbao,{type = type},createGetResponseFunction,
311,testExchangeGoods,post,"itemId, num, callback, isNeedWait, retryType",test_exchange_goods,{itemId = itemId,createGetResponseFunction,
312,detectionGoods,post,"itemId, callback, isNeedWait, retryType",detection_goods,{itemId = itemId},createGetResponseFunction,
313,getWebConfig,get,"callback, isNeedWait, retryType",getWebConfig,nil,createGetResponseFunction,获取家园消耗
314,getHomelandCost,get,"mid, callback, isNeedWait, retryType",get_homeland_cost/,,createGetResponseFunction,
315,getEquinoxTimes,post,"type, callback, isNeedWait, retryType",get_equinox_times,{type = type},createGetResponseFunction,
316,removeEquinoxPoint,post,"type, callback, isNeedWait, retryType",remove_equinox_point,{type = type},createGetResponseFunction,
317,getAttributeTimes,post,"callback, isNeedWait, retryType",get_attribute_times,nil,createGetResponseFunction,
318,removeAttributePoint,post,"callback, isNeedWait, retryType",remove_attribute_point,nil,createGetResponseFunction,获取师门团体信息
319,getUserGroup,post,"userId, teacherId, menpai, isCache, callback, isNeedWait, retryType",get_user_group,{userid = userId,createGetResponseFunction,获取舍友亲密度
320,getUserIntimacy,post,"userId, callback, isNeedWait, retryType",get_user_intimacy,{to_uid = userId},createGetResponseFunction,更新用户亲密度
321,updateUserIntimacy,post,"userId, intimacy, event, callback, isNeedWait, retryType",update_user_intimacy,{to_uid = userId,createGetResponseFunction,获取所有舍友的亲密度
322,getAllIntimacy,get,"callback, isNeedWait, retryType",get_all_intimacy,nil,createGetResponseFunction,获取玩家进境排行
323,getGroupRank,get,"callback, isNeedWait, retryType",get_group_rank,nil,createGetResponseFunction,
324,removeManpaiTeam,get,"callback, isNeedWait, retryType",test_remove_menpai_team,nil,createGetResponseFunction,送礼
325,sendGift,post,"userId, itemId, itemCount, addIntimacy, addPrestige, callback, isNeedWait, retryType",send_gift,{to_uid = userId,createGetResponseFunction,收礼
326,getGift,post,"userId, callback, isNeedWait, retryType",get_gift,{from_uid = userId},createGetResponseFunction,检查舍友是否有给你送礼
327,checkHasGift,post,"userId, callback, isNeedWait, retryType",check_has_gift,{from_uid = userId},createGetResponseFunction,
328,addUserPrestige,post,"addPrestige, event, callback, isNeedWait, retryType",add_user_prestige,{addPrestige = addPrestige,createGetResponseFunction,
329,getUserPrestige,post,"callback, isNeedWait, retryType",get_user_prestige,nil,createGetResponseFunction,新副本重置
330,refreshFubenByYuanBao,post,"mapList, callback, isNeedWait, retryType",refresh_fuben_by_yuanbao,{map_list = mapList},createGetResponseFunction,
331,getPrestigeGoods,post,"npcid, is_refresh, callback, isNeedWait, retryType",get_prestige_goods,{npc_id = npcid,createGetResponseFunction,
332,buyPrestigeGoods,post,"itemId, trans_id, npc_id, callback, isNeedWait, retryType",buy_prestige_goods,{itemId = itemId,createGetResponseFunction,
333,updateUserPrestige,post,"callback, isNeedWait, retryType",update_user_prestige,nil,createGetResponseFunction,
334,setSoleTitle,get,"callback, isNeedWait, retryType",set_sole_title,nil,createGetResponseFunction,
335,useHomeBw,post,"zc_val, prId, mid, bwid, callback, isNeedWait, retryType",use_homebw,{zc_val = zc_val,createGetResponseFunction,网络属性变更接口（各种货币及服务器相关的属性）
336,addCurrencyNumber,post,"currency_tb, eventType, params, callback, isNeedWait, retryType",,{currency = currency_tb,createGetResponseFunction,
337,getQiXiRankBoard,get,"callback, isNeedWait, retryType",get_qixi_board,nil,createGetResponseFunction,
338,getQiXiRankBoatReward,post,"transid, type, callback, isNeedWait, retryType",get_qixi_reward,{trans_id = transid,createGetResponseFunction,
339,getQiXiTaskInFo,post,"actionId, callback, isNeedWait, retryType",get_qixi_task_info,{actionId = actionId},createGetResponseFunction,
340,TakeQiXiTask,post,"actionId, callback, isNeedWait, retryType",take_qixi_task,{actionId = actionId},createGetResponseFunction,
341,FinishQiXiTask,post,"actionId, callback, isNeedWait, retryType",finish_qixi_task,{actionId = actionId},createGetResponseFunction,充值测试接口
342,testChongzhi,get,"rechargeType, callback, isNeedWait, retryType",test_chongzhi/,,createGetResponseFunction,获取副本开放状态
343,getConfigFuben,post,"mapId, callback, isNeedWait, retryType",get_config_fuben,{fbId = mapId},createGetResponseFunction,
344,getDiyGoods,post,"isRefresh, callback, isNeedWait, retryType",get_diy_goods,{is_refresh = isRefresh},createGetResponseFunction,
345,getDiyInfos,get,"callback, isNeedWait, retryType",get_diy_infos,nil,createGetResponseFunction,
346,buyDiyGoods,post,"callback, isNeedWait, retryType",buy_diy_goods,nil,createGetResponseFunction,
347,addHomeBw,post,"bwId, number, callback, isNeedWait, retryType",add_homebw,{bwid = bwId,createGetResponseFunction,
348,getActivityCalendar,get,"callback, isNeedWait, retryType",get_activity_calendar | servant | lunjian,nil,createGetResponseFunction,
349,getGrowthInfo,post,"requirement, callback, isNeedWait, retryType",get_growth_info,{requirement = requirement},createGetResponseFunction,
350,addZhounianJifen,post,"addType, number, callback, isNeedWait, retryType",add_zhounian_jifen | get_dream_world,{addType = addType | nil,createGetResponseFunction,
351,getDreamGoods,get,"callback, isNeedWait, retryType",get_dream_goods,nil,createGetResponseFunction,购买梦呓商品
352,buyDreamGood,post,"onlyId, period, callback, isNeedWait, retryType",buy_dream_goods,{onlyId = onlyId,createGetResponseFunction,获取传承前学习的其它门派技能
353,getOtherSkills,post,"inheritIndex, callback, isNeedWait, retryType",get_other_skills,{inheritIndex = inheritIndex},createGetResponseFunction,从前辈处学习技能
354,studyOtherSkill,post,"userid, skillid, callback, isNeedWait, retryType",study_other_skill,{userid = userid,createGetResponseFunction,测试接口，添加技能
355,testOtherSkill,post,"userid, skillid, callback, isNeedWait, retryType",test_other_skill,{userid = userid,createGetResponseFunction,
356,uploadDreamRoleData,post,"dreamRoleData, callback, isNeedWait, retryType",upload_dream_role,{roleAttr = dreamRoleData},createGetResponseFunction,
357,getDreamRoleData,get,"callback, isNeedWait, retryType",get_dream_role,nil,createGetResponseFunction,
358,getWebReward,post,"params, callback, isNeedWait, retryType",get_web_reward,params,createGetResponseFunction,
359,reportGainLog,post,"logData, callback, isNeedWait, retryType",report_gain_log,{log_data = logData},createGetResponseFunction,日志上传
360,uploadAcquisitionLog,post,"_logs, callback, isNeedWait, retryType",upload_acquisition_log | unlockTalent | dreamCoins,_logs,createGetResponseFunction,
361,uploadEventRecord,post,"params, callback, isNeedWait, retryType",upload_event_record,{params = params},createGetResponseFunction,
362,getEventRecord,get,"callback, isNeedWait, retryType",get_event_record,nil,createGetResponseFunction,
363,submitEventRecord,get,"callback, isNeedWait, retryType",submit_event_record,nil,createGetResponseFunction,楼层结算
364,dreamFloorComplete,post,"roleAttr, callback, isNeedWait, retryType",dream_floor_complete,{roleAttr = roleAttr},createGetResponseFunction,梦境楼层结算
365,dreamWorldComplete,post,"uploadParams, callback, isNeedWait, retryType",dreamworld_complete,{roleAttr = uploadParams.roleAttr,createGetResponseFunction,
366,checkDreamRoleDataIsOverdue,post,"userData, callback, isNeedWait, retryType",settle_overdue_dream,{userData},createGetResponseFunction,
367,updateUnlockRecord,post,"events, callback, isNeedWait, retryType",update_unlock_record,{events = events},createGetResponseFunction,
368,getDreamRewardSkill,get,"callback, isNeedWait, retryType",get_dream_reward_skill,nil,createGetResponseFunction,
369,getLoginYuandanInfo,get,"callback, isNeedWait, retryType",get_login_yuandan_info,nil,createGetResponseFunction,
370,setLoginYuandanReward,post,"rewardId, callback, isNeedWait, retryType",set_login_yuandan_reward,{rewardId = rewardId},createGetResponseFunction,
371,getYuanbaoLotteryList,get,"callback, isNeedWait, retryType",get_yuanbao_lottery_list,nil,createGetResponseFunction,
372,doYuanbaoLottery,get,"callback, isNeedWait, retryType",do_yuanbao_lottery,nil,createGetResponseFunction,异人录活动信息
373,getMingRenLotteryList,get,"callback, isNeedWait, retryType",get_mingren_lottery_list,nil,createGetResponseFunction,异人录活动抽奖
374,doMingRenLottery,get,"times, callback, isNeedWait, retryType",do_mingren_lottery/,,createGetResponseFunction,江湖名武录活动信息
375,getMingWuLotteryList,get,"callback, isNeedWait, retryType",get_mingwu_lottery_list,nil,createGetResponseFunction,江湖名武录抽奖
376,doMingWuLottery,get,"times, callback, isNeedWait, retryType",do_mingwu_lottery/,,createGetResponseFunction,
377,getZhenPinGeLotteryList,get,"activity_id, callback, isNeedWait, retryType",get_zhenpinge_lottery_list/,,createGetResponseFunction,
378,doZhenPinGeLottery,post,"activity_id, times, dataVer, currencyVersion, callback, isNeedWait, retryType",do_zhenpinge_lottery,{times = times,createGetResponseFunction,
379,exchangeZhenPinGeGoods,post,"activity_id, id, num, dataVer, currencyVersion, callback, isNeedWait, retryType",exchange_zhenpinge_goods,{id = id,createGetResponseFunction,
380,bfmingtieExchangeSpcl,get,"callback, isNeedWait, retryType",bfmingtie_exchange_spcl,nil,createGetResponseFunction,
381,getCreateBooks,get,"callback, isNeedWait, retryType",get_books,nil,createGetResponseFunction,
382,useCreateProp,post,"propId, userLv, skillDataId, callback, isNeedWait, retryType",use_create_prop,{prop = propId,createGetResponseFunction,
383,useImproveProp,post,"propId, userLv, zhaoIndex, skillDataId, callback, isNeedWait, retryType",use_improve_prop,{prop = propId,createGetResponseFunction,
384,addProp,post,"propId, count, callback, isNeedWait, retryType",add_prop,{prop = propId,createGetResponseFunction,
385,getPropList,get,"propType, callback, isNeedWait, retryType",get_propList/,,createGetResponseFunction,
386,createZhao,post,"zhaoType, userLv, tujianLv, callback, isNeedWait, retryType",create_zhao,{methods = zhaoType,createGetResponseFunction,
387,testDeleteBook,post,"action, callback, isNeedWait, retryType",test_delete_book,{action = action},createGetResponseFunction,
388,deleteCompletedBook,post,"skillId, callback, isNeedWait, retryType",delete_book,{skillId = skillId},createGetResponseFunction,
389,completeBook,post,"skillName, callback, isNeedWait, retryType",complete_book,{skillName = skillName},createGetResponseFunction,
390,getZhaoColors,get,"callback, isNeedWait, retryType",get_zhaoColors,nil,createGetResponseFunction,
391,unlockZhaoColor,post,"colorId, callback, isNeedWait, retryType",unlock_zhaoColor,{colorId = colorId},createGetResponseFunction,
392,getZhaoDscs,post,"templateId, callback, isNeedWait, retryType",get_zhaoDscs,{templateId = templateId},createGetResponseFunction,
393,unlockZhaoDsc,post,"xiLieId, templateId, callback, isNeedWait, retryType",unlock_zhaoDsc_xiLie,{xiLieId = xiLieId,createGetResponseFunction,
394,getSkillNameAffixs,get,"callback, isNeedWait, retryType",get_skillName_affixs,nil,createGetResponseFunction,
395,unlockSkillNameAffixs,post,"nameAffixsId, callback, isNeedWait, retryType",unlock_skillName_affixs,{affixsId = nameAffixsId},createGetResponseFunction,
396,setZhaoAttr,post,"params, callback, isNeedWait, retryType",set_zhao_attr,params,createGetResponseFunction,
397,getZhaoSuccessRate,post,"userLv, callback, isNeedWait, retryType",get_successRate,{lv = userLv},createGetResponseFunction,
398,learnSkillBook,post,"skillId, callback, isNeedWait, retryType",learn_book,{skillId = skillId},createGetResponseFunction,
399,acceptTask,post,"task_id, extra_data, callback, isNeedWait, retryType",accept_task,{task_id = task_id,createGetResponseFunction,
400,finishTask,post,"task_id, extra_data, callback, isNeedWait, retryType",finish_task,{task_id = task_id,createGetResponseFunction,
401,resetTask,post,"task_id, callback, isNeedWait, retryType",reset_task,{task_id = task_id},createGetResponseFunction,
402,submitTask,post,"task_id, callback, isNeedWait, retryType",submit_task,{task_id = task_id},createGetResponseFunction,
403,getTaskInfo,post,"task_id, callback, isNeedWait, retryType",get_task_info,{task_id = task_id},createGetResponseFunction,
404,testUpdateTask,post,"task_id, updateInfo, callback, isNeedWait, retryType",test_update_task,{task_id = task_id,createGetResponseFunction,
405,testClearBook,post,"skill_id, callback, isNeedWait, retryType",test_clear_book,{skill_id = skill_id},createGetResponseFunction,
406,deleteCreateBookDayLimit,get,"callback, isNeedWait, retryType",delete_book_dayLimit,nil,createGetResponseFunction,
407,testAddZhaoNum,post,"skill_id, num, callback, isNeedWait, retryType",test_add_zhaoNum,{skillId = skill_id,createGetResponseFunction,
408,getDailyTaskList,get,"callback, isNeedWait, retryType",get_daily_task_list,nil,createGetResponseFunction,
409,getDailyTaskReward,post,"rid, isEmail, dataVer, currencyVersion, callback, isNeedWait, retryType",get_daily_task_reward,{rid = rid,createGetResponseFunction,
410,addDailyTaskPoint,post,"task_id, callback, isNeedWait, retryType",add_daily_task_point,{task_id = task_id},createGetResponseFunction,
411,getLoginRewardList,get,"activity_id, callback, isNeedWait, retryType",get_login_reward_list/,,createGetResponseFunction,
412,getLoginReward,post,"activityId, rid, isEmail, dataVer, currencyVersion, callback, isNeedWait, retryType",get_login_reward,{activityId = activityId,createGetResponseFunction,
413,getFundActivityInfo,get,"actionId, callback, isNeedWait, retryType",get_login_reward_list/,,createGetResponseFunction,
414,getFundReward,post,"actionId, rid, callback, isNeedWait, retryType",get_login_reward,{activity_id = actionId,createGetResponseFunction,
415,setProductMark,post,"actionId, key, callback, isNeedWait, retryType",set_product_mark,{activity_id = actionId,createGetResponseFunction,
416,getSpringNewReward,get,"callback, isNeedWait, retryType",get_spring_new_reward,nil,createGetResponseFunction,
417,receiveSpringNewReward,get,"rid, callback, isNeedWait, retryType",receive_spring_new_reward/,,createGetResponseFunction,
418,getIntelligenceData,get,"callback, isNeedWait, retryType",,nil,createGetResponseFunction,
419,uploadIntelligenceData,post,"params, callback, isNeedWait, retryType",,params,createGetResponseFunction,
420,buyIntelligence,get,"callback, isNeedWait, retryType",buy_day_intelligence,nil,createGetResponseFunction,
421,getTechniqueList,get,"callback, isNeedWait, retryType",get_technique_list,nil,createGetResponseFunction,
422,readIntelligence,post,"id, type, callback, isNeedWait, retryType",read_intelligence,{intelligence_id = id,createGetResponseFunction,
423,deleteDayIntelligence,get,"callback, isNeedWait, retryType",delete_day_intelligence,nil,createGetResponseFunction,
424,deleteIntelligence,post,"type, callback, isNeedWait, retryType",delete_bought_intelligence,{type = type},createGetResponseFunction,
425,getSpendRewardList,get,"actionId, callback, isNeedWait, retryType",get_spend_reward_list/,,createGetResponseFunction,
426,getSpendReward,post,"actionId, rid, dataVer, currencyVersion, callback, isNeedWait, retryType",get_spend_reward,{activity_id = actionId,createGetResponseFunction,
427,containsBlockedWord,post,"str, callback, isNeedWait, retryType",contains_blocked_word,{s = str},createGetResponseFunction,
428,getAnswerStatus,post,"activityId, callback, isNeedWait, retryType",,{activity_id = activityId},createGetResponseFunction,
429,setAnswerStatus,post,"activityId, type, passNum, callback, isNeedWait, retryType",,{activity_id = activityId,createGetResponseFunction,
430,getEmails,get,"callback, isNeedWait, retryType",get_email_info,nil,createGetResponseFunction,
431,readEmail,post,"id, callback, isNeedWait, retryType",read_email,{id = id},createGetResponseFunction,
432,deleteEmail,get,"id, callback, isNeedWait, retryType",delete_email/,,createGetResponseFunction,
433,getEmailReward,post,"id, familyId, retrievables, dataVer, currencyVersion, callback, isNeedWait, retryType",get_email_reward,{id = id,createGetResponseFunction,
434,getAllEmailRewardList,get,"callback, isNeedWait, retryType",get_email_rewards_list,nil,createGetResponseFunction,
435,getAllEmailReward,post,"familyId, retrievables, dataVer, currencyVersion, callback, isNeedWait, retryType",get_all_email_rewards,{familyId = familyId,createGetResponseFunction,
436,deleteIsFinishEmails,get,"callback, isNeedWait, retryType",delete_processed_emails,nil,createGetResponseFunction,
437,maskUpgrade,post,"params, currencyVersion, callback, isNeedWait, retryType",mask_upgrade,{params = params,createGetResponseFunction,
438,getLotteryTreasureList,get,"activity_id, callback, isNeedWait, retryType",get_lottery_treasure_list/,,createGetResponseFunction,
439,lotteryTreasureResult,post,"activity_id, callback, isNeedWait, retryType",lottery_treasure_result,{activity_id = activity_id},createGetResponseFunction,
440,lotteryTreasureReward,post,"activity_id, rid, is_email, dataVer, currencyVersion, callback, isNeedWait, retryType",lottery_treasure_reward,{activity_id = activity_id,createGetResponseFunction,
441,getLotteryTreasureExchangeShop,post,"activity_id, callback, isNeedWait, retryType",get_lottery_treasure_exchange_shop,{activity_id = activity_id},createGetResponseFunction,
442,lotteryTreasureExchangeGoods,post,"activity_id, goods_id, callback, isNeedWait, retryType",lottery_treasure_exchange_goods,{activity_id = activity_id,createGetResponseFunction,
443,buyLotteryTreasureCurrency,post,"activity_id, number, callback, isNeedWait, retryType",buy_lottery_treasure_currency,{activity_id = activity_id,createGetResponseFunction,
444,addGuideTaskPoint,post,"taskId, point, callback, isNeedWait, retryType",add_guide_task_point,{task_id = taskId,createGetResponseFunction,
445,getGuideTaskPoint,get,"callback, isNeedWait, retryType",get_guide_task_point,nil,createGetResponseFunction,
446,getRecordSkills,get,"callback, isNeedWait, retryType",get_record_skills,nil,createGetResponseFunction,
447,recordSkill,post,"skill_id, skill_type, callback, isNeedWait, retryType",record_skill,{skill_id = skill_id,createGetResponseFunction,
448,learnSkill,post,"skill_id, callback, isNeedWait, retryType",learn_skill,{skill_id = skill_id},createGetResponseFunction,
449,getAndroidUUID,get,"callback, isNeedWait, retryType",api/v5/ | api/service_android/ | get_uuid,,createGetResponseFunction,
450,checkFondDreamRoleDataIsOverdue,post,"userData, callback, isNeedWait, retryType",settle_overdue_fond_dream,{userData},createGetResponseFunction,
451,getFondDreamRoleData,get,"callback, isNeedWait, retryType",get_fond_dream_role,nil,createGetResponseFunction,
452,uploadFondDreamRoleData,post,"dreamRoleData, callback, isNeedWait, retryType",upload_fond_dream_role,{roleAttr = dreamRoleData},createGetResponseFunction,
453,fondDreamFloorComplete,post,"roleAttr, callback, isNeedWait, retryType",fond_dream_floor_complete,{roleAttr = roleAttr},createGetResponseFunction,
454,fondDreamWorldComplete,post,"uploadParams, callback, isNeedWait, retryType",fond_dreamworld_complete,{roleAttr = uploadParams.roleAttr,createGetResponseFunction,
455,getFondWebReward,post,"params, callback, isNeedWait, retryType",get_fond_dream_reward,params,createGetResponseFunction,
456,deleteFondDreamRoleData,get,"callback, isNeedWait, retryType",delete_fond_dream_role,nil,createGetResponseFunction,
457,getEggChallengeInfo,get,"callback, isNeedWait, retryType",get_egg_challenge_info,nil,createGetResponseFunction,
458,addEggChallengeTimes,post,"npcId, callback, isNeedWait, retryType",add_egg_challenge_times,{npc_id = npcId},createGetResponseFunction,
459,getLuckBoxList,post,"activity_id, menpai, is_refresh, callback, isNeedWait, retryType",get_luck_box_list,{activity_id = activity_id,createGetResponseFunction,
460,buyLuckBoxGood,post,"activity_id, rid, dataVer, currencyVersion, callback, isNeedWait, retryType",buy_luck_box_good,{activity_id = activity_id,createGetResponseFunction,
461,getLuckBoxGood,post,"activity_id, rid, dataVer, currencyVersion, callback, isNeedWait, retryType",get_luck_box_good,{activity_id = activity_id,createGetResponseFunction,
462,getSachetAtticList,get,"actionId, callback, isNeedWait, retryType",get_sachet_attic_list/,,createGetResponseFunction,
463,exchangeAwardToSachet,post,"activity_id, reward_id, callback, isNeedWait, retryType",exchange_award_to_sachet,{activity_id = activity_id,createGetResponseFunction,
464,buySpendReward,post,"activity_id, rid, dataVer, currencyVersion, callback, isNeedWait, retryType",buy_spend_reward,{activity_id = activity_id,createGetResponseFunction,
465,startHangUpTask,post,"version, taskId, extraData, callback, isNeedWait, retryType",start_hang_up_task,{version = version,createGetResponseFunction,
466,stopHangUpTask,post,"version, taskId, extraData, reward, callback, isNeedWait, retryType",stop_hang_up_task,{version = version,createGetResponseFunction,
467,getHangUpYashiTime,post,"version, callback, isNeedWait, retryType",get_hangUp_yashi_time,{version = version},createGetResponseFunction,
468,getYaShiExpiredTime,get,"callback, isNeedWait, retryType",check_has_yashi,nil,createGetResponseFunction,
