#,协议方法,方法,参数,URL,请求体,响应处理,说明
62,getBindInfo,get,"callback, isNeedWait, retryType",get_bind_info,"""""",createGetResponseFunction,
63,sendVerifyCode,post,"sendType, sendKey, eventType, callback, isNeedWait, retryType",send_verify_code,{send_type = sendType,createGetResponseFunction,
64,bindDevice2,post,"sendType, sendKey, verifyCode, callback, isNeedWait, retryType",bind_device_2,{send_type = sendType,createGetResponseFunction,
65,sendPhoneVerifyCode,post,"phone, callback, isNeedWait, retryType",realname_send,{phone = phone},createGetResponseFunction,
66,bindShiMingInfo,post,"username, idcard, phone, code, callback, isNeedWait, retryType",realname_auth,{username = username,createGetResponseFunction,
67,checkPaySign,post,"key, callback, isNeedWait, retryType",check_pay_sign,{key = key},createGetResponseFunction,
68,checkActionPaySign,post,"key, activityId, callback, isNeedWait, retryType",check_pay_sign,{key = key,createGetResponseFunction,江湖秘宝活动充值
69,checkJHMBActionPaySign,post,"key, activityId,dataVer, currencyVersion, callback, isNeedWait, retryType",check_pay_sign,{key = key,createGetResponseFunction,
70,upDayGameTime,post,"time, callback, isNeedWait, retryType",up_day_gametime,{time = time},createGetResponseFunction,
71,loginDevice2,post,"sendType, sendKey, verifyCode, callback, isNeedWait, retryType",login_device_2,{send_type = sendType,createGetResponseFunction,
72,logoutDevice2,post,"sendType, sendKey, verifyCode, callback, isNeedWait, retryType",logout_device_2,{send_type = sendType,createGetResponseFunction,
73,logoutUnbindDevice2,post,"callback, isNeedWait, retryType",logout_device_2,nil,createGetResponseFunction,
74,getGameUserInfo,post,"noticeId, currencyVersion,callback, isNeedWait, retryType",get_game_user_info_2,{notice_version = noticeId,createGetResponseFunction,
75,getHistoryNotice,get,"callback, isNeedWait, retryType",get_history_notice,nil,createGetResponseFunction,
76,CreateHeir,post,"heirName, callback, isNeedWait, retryType",createNextRoleTask,{name = heirName},createGetResponseFunction,传承
77,inherit,post,"roleData, userId, dataVer, currencyVersion, callback, isNeedWait, retryType",finishNextRoleTask,{roleData = {roleData},createGetResponseFunction,
78,getInheritHistoryRoleAttr,post,"data, callback, isNeedWait, retryType",get_chuanchen_user_info,data,createGetResponseFunction,
79,isOpenVisitTask,get,"callback, isNeedWait, retryType",is_visitor_shop_open,nil,createGetResponseFunction,
80,getMarketStoreList,get,"callback, isNeedWait, retryType",black_market_store,nil,createGetResponseFunction,
81,getSignList,get,"callback, isNeedWait, retryType",get_sign_list,nil,createGetResponseFunction,
82,getSignPrize,post,"trans_id, stringDate, itemId, homeland_open, callback, isNeedWait, retryType",get_sign_prize,{trans_id = trans_id,createGetResponseFunction,
83,getSignHistoryPrize,post,"trans_id, prizeId, callback, isNeedWait, retryType",get_sign_history_prize,{trans_id = trans_id,createGetResponseFunction,
84,checkFailedNormalSign,post,"trans_id, callback, isNeedWait, retryType",check_failed_normal_sign,{trans_id = trans_id},createGetResponseFunction,
85,getNewYearFestivalState,get,"id, callback, isNeedWait, retryType",,,createGetResponseFunction,
86,getXianShiPoint,get,"callback, isNeedWait, retryType",get_xianshilibao_gift_list_2,nil,createGetResponseFunction,
87,resetXianShiPoint,post,"callback, isNeedWait, retryType",reset_xianshilibao_points | check_failed_history_sign,nil | {trans_id = trans_id},createGetResponseFunction,
88,testFastivalDate,post,"productId, callback, isNeedWait, retryType",,{key = productId},createGetResponseFunction,
89,clearTestFestivalData,post,"callback, isNeedWait, retryType",,nil,createGetResponseFunction,
90,getFestivalOrderId,post,"orderType, orderInfo, callback, isNeedWait, retryType",get_order_id/,,createGetResponseFunction,
91,rollBackOrderStatus,post,"orderType, orderid, orderInfo, callback, isNeedWait, retryType",,,createGetResponseFunction,
92,getFirstFestivalGiftList,get,"callback, isNeedWait, retryType",get_first_festival_gift,nil,createGetResponseFunction,
93,getFirstFestivalGift,post,"orderid, callback, isNeedWait, retryType",receive_first_festival_gift,{order_id = orderid,createGetResponseFunction,
94,getMultiFestivalGiftList,get,"callback, isNeedWait, retryType",get_multi_festival_gift_list,nil,createGetResponseFunction,
95,getMultiFestivalGift,post,"kry, orderid, itemId, callback, isNeedWait, retryType",receive_multi_festival_gift,{key = kry,createGetResponseFunction,
96,getSpringFestivalList,get,"callback, isNeedWait, retryType",get_spring_festival_list,nil,createGetResponseFunction,
97,getZhiZuoZuRoleList,get,"callback, isNeedWait, retryType",get_npc_list,nil,createGetResponseFunction,
98,addZhiZuoZuNpcRecord,get,"npcId, callback, isNeedWait, retryType",add_npc_record/,,createGetResponseFunction,
99,getMaskList,get,"callback, isNeedWait, retryType",get_mask_list,nil,createGetResponseFunction,
100,refreshMaskList,post,"orderid, callback, isNeedWait, retryType",refresh_mask_list,{order_id = orderid},createGetResponseFunction,
101,buyMaskPiece,post,"orderid, id, callback, isNeedWait, retryType",buy_mask_piece_2,{order_id = orderid,createGetResponseFunction,
102,getDailyPoint,get,"callback, isNeedWait, retryType",get_daily_point,nil,createGetResponseFunction,
103,updateDailyPoint,post,"id, point, callback, isNeedWait, retryType",update_daily_point/,,createGetResponseFunction,
104,getDailyBoard,get,"callback, isNeedWait, retryType",get_daily_board,nil,createGetResponseFunction,
105,getLongZhouDailyBoard,get,"type, callback, isNeedWait, retryType",get_boat_board/,,createGetResponseFunction,
106,getBuyOrderId,get,"callback, isNeedWait, retryType",get_buy_order_id,nil,createGetResponseFunction,
107,getAllTypePoint,get,"callback, isNeedWait, retryType",get_all_type_point | get_daily_board,nil,createGetResponseFunction,
108,getDailyNotice,get,"callback, isNeedWait, retryType",get_daily_Notice,nil,createGetResponseFunction,
109,getDailyRewardList,get,"callback, isNeedWait, retryType",get_daily_reward_list,nil,createGetResponseFunction,
110,getDailyReward,post,"transid, callback, isNeedWait, retryType",get_daily_reward,{trans_id = transid},createGetResponseFunction,
111,rollDailyReward,get,"callback, isNeedWait, retryType",roll_daily_reward,nil,createGetResponseFunction,
112,getEventList,post,"type, currencyVersion, callback, isNeedWait, retryType",get_activity_list,{type = type,createGetResponseFunction,
113,delActivityCache,get,"callback, isNeedWait, retryType",del_activity_cache | errcode | dev_point,nil,createGetResponseFunction,
114,getDevotePoint,get,"callback, isNeedWait, retryType",get_devote_point | errcode | msg | errmsg,nil,createGetResponseFunction,
115,addDevotePoint,post,"ptype, point, callback, isNeedWait, retryType",add_devote_point | errcode | id | itemId | leidongjiutian | itype,{type = ptype,createGetResponseFunction,
116,getDevoteList,post,"dtype, menpai, callback, isNeedWait, retryType",get_devote_list | huakaibingdicanye | tiyunzongcanye | errcode | id | itemId,{type = dtype,createGetResponseFunction,
117,getDevoteListByYuanbao,post,"dtype, orderid, menpai, callback, isNeedWait, retryType",get_devote_list_by_yuanbao | huakaibingdicanye | tiyunzongcanye | order_id | points | errcode,{order_id = orderid | nil,createGetResponseFunction,
118,updateMenpaiGongxiangdian,post,"orderid, itemId, points, info, callback, isNeedWait, retryType",update_menpai_gongxiangdian,{order_id = orderid,createGetResponseFunction,
119,getChapmanItemList,get,"npcId, callback, isNeedWait, retryType",trader_store/,,createGetResponseFunction,
120,buyChapmanItem,post,"npcId, itemId, transid, voucherNum, callback, isNeedWait, retryType",buy_trader_goods,{npc_id = npcId,createGetResponseFunction,
121,addChapmanItemCount,post,"npcId, itemId, callback, isNeedWait, retryType",del_buy_npc_time,{npc_id = npcId,createGetResponseFunction,
122,addDeadCurrency,post,"id, number, isNeed, callback, isNeedWait, retryType",add_user_mingbi,{type = id,createGetResponseFunction,
123,getDeadCurrencyGoodsList,post,"callback, isNeedWait, retryType",get_mingbi_list,nil,createGetResponseFunction,
124,buyDeadCurrencyGoods,post,"orderid, id, callback, isNeedWait, retryType",buy_mingbi_goods,{order_id = orderid,createGetResponseFunction,
125,getHelpDocument,get,"callback, isNeedWait, retryType",get_help_document,nil,createGetResponseFunction,
126,getVoucherPrize,post,"voucherId, activityId, callback, isNeedWait, retryType",get_voucher_prize_2,{voucher = voucherId,createGetResponseFunction,
127,cleanVoucherRecord,get,"callback, isNeedWait, retryType",clean_voucher_record_2,nil,createGetResponseFunction,
128,checkCanExam,get,"id, callback, isNeedWait, retryType",check_whether_exam/,,createGetResponseFunction,
129,updateExamPoint,post,"id, rightCount, point, time, skillExp, cheat, callback, isNeedWait, retryType",upload_exam_point,{type = id,createGetResponseFunction,
130,getExamPoint,get,"id, callback, isNeedWait, retryType",get_exam_point/,,createGetResponseFunction,
131,generateExamReward,get,"id, callback, isNeedWait, retryType",crontab_gen_exam_reward/,,createGetResponseFunction,
132,getExamReward,post,"id, orderid, callback, isNeedWait, retryType",get_exam_reward,{trans_id = orderid,createGetResponseFunction,
